Муниципалитет,Год,Пол,Причина смерти,СКС
Район 1,2017,Все,Все,4101
Район 1,2018,Все,Все,1663
Район 1,2019,Все,Все,1010
Район 1,2020,Все,Все,3376
Район 1,2021,Все,Все,1341
Район 1,2022,Все,Все,2152
Район 1,2023,Все,Все,1340
Район 2,2017,Все,Все,2154
Район 2,2018,Все,Все,726
Район 2,2019,Все,Все,1431
Район 2,2020,Все,Все,2762
Район 2,2021,Все,Все,1517
Район 2,2022,Все,Все,2173
Район 2,2023,Все,Все,1785
Район 3,2017,Все,Все,875
Район 3,2018,Все,Все,975
Район 3,2019,Все,Все,672
Район 3,2020,Все,Все,961
Район 3,2021,Все,Все,759
Район 3,2022,Все,Все,652
Район 3,2023,Все,Все,663
Район 1,2017,Женщины,Все,2900
Район 1,2017,Мужчины,Все,709
Район 1,2018,Женщины,Все,790
Район 1,2018,Мужчины,Все,506
Район 1,2019,Женщины,Все,277
Район 1,2019,Мужчины,Все,436
Район 1,2020,Женщины,Все,1894
Район 1,2020,Мужчины,Все,685
Район 1,2021,Женщины,Все,758
Район 1,2021,Мужчины,Все,770
Район 1,2022,Женщины,Все,1346
Район 1,2022,Мужчины,Все,1055
Район 1,2023,Женщины,Все,103
Район 1,2023,Мужчины,Все,1529
Район 2,2017,Женщины,Все,882
Район 2,2017,Мужчины,Все,768
Район 2,2018,Женщины,Все,504
Район 2,2018,Мужчины,Все,189
Район 2,2019,Женщины,Все,682
Район 2,2019,Мужчины,Все,472
Район 2,2020,Женщины,Все,1883
Район 2,2020,Мужчины,Все,602
Район 2,2021,Женщины,Все,823
Район 2,2021,Мужчины,Все,1156
Район 2,2022,Женщины,Все,816
Район 2,2022,Мужчины,Все,1272
Район 2,2023,Женщины,Все,1009
Район 2,2023,Мужчины,Все,1294
Район 3,2017,Женщины,Все,575
Район 3,2017,Мужчины,Все,654
Район 3,2018,Женщины,Все,550
Район 3,2018,Мужчины,Все,1146
Район 3,2019,Женщины,Все,388
Район 3,2019,Мужчины,Все,734
Район 3,2020,Женщины,Все,500
Район 3,2020,Мужчины,Все,1257
Район 3,2021,Женщины,Все,547
Район 3,2021,Мужчины,Все,447
Район 3,2022,Женщины,Все,361
Район 3,2022,Мужчины,Все,650
Район 3,2023,Женщины,Все,319
Район 3,2023,Мужчины,Все,721
Район 1,2017,Все,Болезни сердца,3676
Район 1,2017,Все,Другие болезни органов дыхания,425
Район 1,2017,Все,Другие болезни системы кровообращения,0
Район 1,2017,Все,Острые респираторные заболевания,0
Район 1,2018,Все,Болезни сердца,1609
Район 1,2018,Все,Другие болезни органов дыхания,54
Район 1,2018,Все,Другие болезни системы кровообращения,0
Район 1,2018,Все,Острые респираторные заболевания,0
Район 1,2019,Все,Болезни сердца,955
Район 1,2019,Все,Другие болезни органов дыхания,0
Район 1,2019,Все,Другие болезни системы кровообращения,0
Район 1,2019,Все,Острые респираторные заболевания,55
Район 1,2020,Все,Болезни сердца,3191
Район 1,2020,Все,Другие болезни органов дыхания,0
Район 1,2020,Все,Другие болезни системы кровообращения,0
Район 1,2020,Все,Острые респираторные заболевания,185
Район 1,2021,Все,Болезни сердца,1222
Район 1,2021,Все,Другие болезни органов дыхания,120
Район 1,2021,Все,Другие болезни системы кровообращения,0
Район 1,2021,Все,Острые респираторные заболевания,0
Район 1,2022,Все,Болезни сердца,1835
Район 1,2022,Все,Другие болезни органов дыхания,128
Район 1,2022,Все,Другие болезни системы кровообращения,95
Район 1,2022,Все,Острые респираторные заболевания,94
Район 1,2023,Все,Болезни сердца,1293
Район 1,2023,Все,Другие болезни органов дыхания,0
Район 1,2023,Все,Другие болезни системы кровообращения,47
Район 1,2023,Все,Острые респираторные заболевания,0
Район 2,2017,Все,Болезни сердца,1779
Район 2,2017,Все,Другие болезни органов дыхания,0
Район 2,2017,Все,Другие болезни системы кровообращения,375
Район 2,2017,Все,Острые респираторные заболевания,0
Район 2,2018,Все,Болезни сердца,592
Район 2,2018,Все,Другие болезни органов дыхания,0
Район 2,2018,Все,Другие болезни системы кровообращения,134
Район 2,2018,Все,Острые респираторные заболевания,0
Район 2,2019,Все,Болезни сердца,1361
Район 2,2019,Все,Другие болезни органов дыхания,70
Район 2,2019,Все,Другие болезни системы кровообращения,0
Район 2,2019,Все,Острые респираторные заболевания,0
Район 2,2020,Все,Болезни сердца,2148
Район 2,2020,Все,Другие болезни органов дыхания,84
Район 2,2020,Все,Другие болезни системы кровообращения,208
Район 2,2020,Все,Острые респираторные заболевания,320
Район 2,2021,Все,Болезни сердца,1293
Район 2,2021,Все,Другие болезни органов дыхания,0
Район 2,2021,Все,Другие болезни системы кровообращения,0
Район 2,2021,Все,Острые респираторные заболевания,223
Район 2,2022,Все,Болезни сердца,1946
Район 2,2022,Все,Другие болезни органов дыхания,0
Район 2,2022,Все,Другие болезни системы кровообращения,0
Район 2,2022,Все,Острые респираторные заболевания,227
Район 2,2023,Все,Болезни сердца,1785
Район 2,2023,Все,Другие болезни органов дыхания,0
Район 2,2023,Все,Другие болезни системы кровообращения,0
Район 2,2023,Все,Острые респираторные заболевания,0
Район 3,2017,Все,Болезни сердца,767
Район 3,2017,Все,Другие болезни органов дыхания,8
Район 3,2017,Все,Другие болезни системы кровообращения,20
Район 3,2017,Все,Острые респираторные заболевания,80
Район 3,2018,Все,Болезни сердца,844
Район 3,2018,Все,Другие болезни органов дыхания,32
Район 3,2018,Все,Другие болезни системы кровообращения,50
Район 3,2018,Все,Острые респираторные заболевания,49
Район 3,2019,Все,Болезни сердца,547
Район 3,2019,Все,Другие болезни органов дыхания,46
Район 3,2019,Все,Другие болезни системы кровообращения,21
Район 3,2019,Все,Острые респираторные заболевания,58
Район 3,2020,Все,Болезни сердца,695
Район 3,2020,Все,Другие болезни органов дыхания,95
Район 3,2020,Все,Другие болезни системы кровообращения,129
Район 3,2020,Все,Острые респираторные заболевания,42
Район 3,2021,Все,Болезни сердца,504
Район 3,2021,Все,Другие болезни органов дыхания,69
Район 3,2021,Все,Другие болезни системы кровообращения,74
Район 3,2021,Все,Острые респираторные заболевания,113
Район 3,2022,Все,Болезни сердца,393
Район 3,2022,Все,Другие болезни органов дыхания,52
Район 3,2022,Все,Другие болезни системы кровообращения,28
Район 3,2022,Все,Острые респираторные заболевания,179
Район 3,2023,Все,Болезни сердца,456
Район 3,2023,Все,Другие болезни органов дыхания,18
Район 3,2023,Все,Другие болезни системы кровообращения,56
Район 3,2023,Все,Острые респираторные заболевания,134
