Год,Муниципалитет,Пол,Возрастная группа,Причина смерти,Стандартный вес группы,Число умерших,Численность населения
2017,Район 1,Женщины,1-4,Болезни сердца,4,0,155
2017,Район 1,Женщины,1-4,Другие болезни органов дыхания,4,0,155
2017,Район 1,Женщины,1-4,Другие болезни системы кровообращения,4,0,155
2017,Район 1,Женщины,1-4,Острые респираторные заболевания,4,0,155
2017,Район 1,Женщины,10-14,Болезни сердца,"5,5",0,163
2017,Район 1,Женщины,10-14,Другие болезни органов дыхания,"5,5",0,163
2017,Район 1,Женщины,10-14,Другие болезни системы кровообращения,"5,5",0,163
2017,Район 1,Женщины,10-14,Острые респираторные заболевания,"5,5",0,163
2017,Район 1,Женщины,15-19,Болезни сердца,"5,5",0,132
2017,Район 1,Женщины,15-19,Другие болезни органов дыхания,"5,5",0,132
2017,Район 1,Женщины,15-19,Другие болезни системы кровообращения,"5,5",0,132
2017,Район 1,Женщины,15-19,Острые респираторные заболевания,"5,5",0,132
2017,Район 1,Женщины,20-24,Болезни сердца,6,0,135
2017,Район 1,Женщины,20-24,Другие болезни органов дыхания,6,0,135
2017,Район 1,Женщины,20-24,Другие болезни системы кровообращения,6,0,135
2017,Район 1,Женщины,20-24,Острые респираторные заболевания,6,0,135
2017,Район 1,Женщины,25-29,Болезни сердца,6,0,122
2017,Район 1,Женщины,25-29,Другие болезни органов дыхания,6,0,122
2017,Район 1,Женщины,25-29,Другие болезни системы кровообращения,6,0,122
2017,Район 1,Женщины,25-29,Острые респираторные заболевания,6,0,122
2017,Район 1,Женщины,30-34,Болезни сердца,"6,5",0,131
2017,Район 1,Женщины,30-34,Другие болезни органов дыхания,"6,5",0,131
2017,Район 1,Женщины,30-34,Другие болезни системы кровообращения,"6,5",0,131
2017,Район 1,Женщины,30-34,Острые респираторные заболевания,"6,5",0,131
2017,Район 1,Женщины,35-39,Болезни сердца,7,0,144
2017,Район 1,Женщины,35-39,Другие болезни органов дыхания,7,0,144
2017,Район 1,Женщины,35-39,Другие болезни системы кровообращения,7,0,144
2017,Район 1,Женщины,35-39,Острые респираторные заболевания,7,0,144
2017,Район 1,Женщины,40-44,Болезни сердца,7,0,133
2017,Район 1,Женщины,40-44,Другие болезни органов дыхания,7,0,133
2017,Район 1,Женщины,40-44,Другие болезни системы кровообращения,7,0,133
2017,Район 1,Женщины,40-44,Острые респираторные заболевания,7,0,133
2017,Район 1,Женщины,45-49,Болезни сердца,7,0,152
2017,Район 1,Женщины,45-49,Другие болезни органов дыхания,7,0,152
2017,Район 1,Женщины,45-49,Другие болезни системы кровообращения,7,0,152
2017,Район 1,Женщины,45-49,Острые респираторные заболевания,7,0,152
2017,Район 1,Женщины,5-9,Болезни сердца,"5,5",0,342
2017,Район 1,Женщины,5-9,Другие болезни органов дыхания,"5,5",0,342
2017,Район 1,Женщины,5-9,Другие болезни системы кровообращения,"5,5",0,342
2017,Район 1,Женщины,5-9,Острые респираторные заболевания,"5,5",0,342
2017,Район 1,Женщины,50-54,Болезни сердца,7,0,143
2017,Район 1,Женщины,50-54,Другие болезни органов дыхания,7,0,143
2017,Район 1,Женщины,50-54,Другие болезни системы кровообращения,7,0,143
2017,Район 1,Женщины,50-54,Острые респираторные заболевания,7,0,143
2017,Район 1,Женщины,55-59,Болезни сердца,"6,5",1,159
2017,Район 1,Женщины,55-59,Другие болезни органов дыхания,"6,5",0,159
2017,Район 1,Женщины,55-59,Другие болезни системы кровообращения,"6,5",0,159
2017,Район 1,Женщины,55-59,Острые респираторные заболевания,"6,5",0,159
2017,Район 1,Женщины,60-64,Болезни сердца,6,0,105
2017,Район 1,Женщины,60-64,Другие болезни органов дыхания,6,0,105
2017,Район 1,Женщины,60-64,Другие болезни системы кровообращения,6,0,105
2017,Район 1,Женщины,60-64,Острые респираторные заболевания,6,0,105
2017,Район 1,Женщины,65-69,Болезни сердца,"5,5",1,54
2017,Район 1,Женщины,65-69,Другие болезни органов дыхания,"5,5",0,54
2017,Район 1,Женщины,65-69,Другие болезни системы кровообращения,"5,5",0,54
2017,Район 1,Женщины,65-69,Острые респираторные заболевания,"5,5",0,54
2017,Район 1,Женщины,70-74,Болезни сердца,5,0,35
2017,Район 1,Женщины,70-74,Другие болезни органов дыхания,5,1,35
2017,Район 1,Женщины,70-74,Другие болезни системы кровообращения,5,0,35
2017,Район 1,Женщины,70-74,Острые респираторные заболевания,5,0,35
2017,Район 1,Женщины,75-79,Болезни сердца,4,1,35
2017,Район 1,Женщины,75-79,Другие болезни органов дыхания,4,0,35
2017,Район 1,Женщины,75-79,Другие болезни системы кровообращения,4,0,35
2017,Район 1,Женщины,75-79,Острые респираторные заболевания,4,0,35
2017,Район 1,Женщины,80-84,Болезни сердца,"2,5",0,11
2017,Район 1,Женщины,80-84,Другие болезни органов дыхания,"2,5",0,11
2017,Район 1,Женщины,80-84,Другие болезни системы кровообращения,"2,5",0,11
2017,Район 1,Женщины,80-84,Острые респираторные заболевания,"2,5",0,11
2017,Район 1,Женщины,85+,Болезни сердца,"2,5",2,2
2017,Район 1,Женщины,85+,Другие болезни органов дыхания,"2,5",0,2
2017,Район 1,Женщины,85+,Другие болезни системы кровообращения,"2,5",0,2
2017,Район 1,Женщины,85+,Острые респираторные заболевания,"2,5",0,2
2017,Район 1,Женщины,до 1,Болезни сердца,1,0,21
2017,Район 1,Женщины,до 1,Другие болезни органов дыхания,1,0,21
2017,Район 1,Женщины,до 1,Другие болезни системы кровообращения,1,0,21
2017,Район 1,Женщины,до 1,Острые респираторные заболевания,1,0,21
2017,Район 1,Мужчины,1-4,Болезни сердца,4,0,116
2017,Район 1,Мужчины,1-4,Другие болезни органов дыхания,4,0,116
2017,Район 1,Мужчины,1-4,Другие болезни системы кровообращения,4,0,116
2017,Район 1,Мужчины,1-4,Острые респираторные заболевания,4,0,116
2017,Район 1,Мужчины,10-14,Болезни сердца,"5,5",0,155
2017,Район 1,Мужчины,10-14,Другие болезни органов дыхания,"5,5",0,155
2017,Район 1,Мужчины,10-14,Другие болезни системы кровообращения,"5,5",0,155
2017,Район 1,Мужчины,10-14,Острые респираторные заболевания,"5,5",0,155
2017,Район 1,Мужчины,15-19,Болезни сердца,"5,5",0,129
2017,Район 1,Мужчины,15-19,Другие болезни органов дыхания,"5,5",0,129
2017,Район 1,Мужчины,15-19,Другие болезни системы кровообращения,"5,5",0,129
2017,Район 1,Мужчины,15-19,Острые респираторные заболевания,"5,5",0,129
2017,Район 1,Мужчины,20-24,Болезни сердца,6,0,94
2017,Район 1,Мужчины,20-24,Другие болезни органов дыхания,6,0,94
2017,Район 1,Мужчины,20-24,Другие болезни системы кровообращения,6,0,94
2017,Район 1,Мужчины,20-24,Острые респираторные заболевания,6,0,94
2017,Район 1,Мужчины,25-29,Болезни сердца,6,0,100
2017,Район 1,Мужчины,25-29,Другие болезни органов дыхания,6,0,100
2017,Район 1,Мужчины,25-29,Другие болезни системы кровообращения,6,0,100
2017,Район 1,Мужчины,25-29,Острые респираторные заболевания,6,0,100
2017,Район 1,Мужчины,30-34,Болезни сердца,"6,5",0,147
2017,Район 1,Мужчины,30-34,Другие болезни органов дыхания,"6,5",0,147
2017,Район 1,Мужчины,30-34,Другие болезни системы кровообращения,"6,5",0,147
2017,Район 1,Мужчины,30-34,Острые респираторные заболевания,"6,5",0,147
2017,Район 1,Мужчины,35-39,Болезни сердца,7,0,133
2017,Район 1,Мужчины,35-39,Другие болезни органов дыхания,7,0,133
2017,Район 1,Мужчины,35-39,Другие болезни системы кровообращения,7,0,133
2017,Район 1,Мужчины,35-39,Острые респираторные заболевания,7,0,133
2017,Район 1,Мужчины,40-44,Болезни сердца,7,0,129
2017,Район 1,Мужчины,40-44,Другие болезни органов дыхания,7,0,129
2017,Район 1,Мужчины,40-44,Другие болезни системы кровообращения,7,0,129
2017,Район 1,Мужчины,40-44,Острые респираторные заболевания,7,0,129
2017,Район 1,Мужчины,45-49,Болезни сердца,7,0,149
2017,Район 1,Мужчины,45-49,Другие болезни органов дыхания,7,0,149
2017,Район 1,Мужчины,45-49,Другие болезни системы кровообращения,7,0,149
2017,Район 1,Мужчины,45-49,Острые респираторные заболевания,7,0,149
2017,Район 1,Мужчины,5-9,Болезни сердца,"5,5",0,354
2017,Район 1,Мужчины,5-9,Другие болезни органов дыхания,"5,5",0,354
2017,Район 1,Мужчины,5-9,Другие болезни системы кровообращения,"5,5",0,354
2017,Район 1,Мужчины,5-9,Острые респираторные заболевания,"5,5",0,354
2017,Район 1,Мужчины,50-54,Болезни сердца,7,3,174
2017,Район 1,Мужчины,50-54,Другие болезни органов дыхания,7,0,174
2017,Район 1,Мужчины,50-54,Другие болезни системы кровообращения,7,0,174
2017,Район 1,Мужчины,50-54,Острые респираторные заболевания,7,0,174
2017,Район 1,Мужчины,55-59,Болезни сердца,"6,5",0,164
2017,Район 1,Мужчины,55-59,Другие болезни органов дыхания,"6,5",2,164
2017,Район 1,Мужчины,55-59,Другие болезни системы кровообращения,"6,5",0,164
2017,Район 1,Мужчины,55-59,Острые респираторные заболевания,"6,5",0,164
2017,Район 1,Мужчины,60-64,Болезни сердца,6,2,141
2017,Район 1,Мужчины,60-64,Другие болезни органов дыхания,6,1,141
2017,Район 1,Мужчины,60-64,Другие болезни системы кровообращения,6,0,141
2017,Район 1,Мужчины,60-64,Острые респираторные заболевания,6,0,141
2017,Район 1,Мужчины,65-69,Болезни сердца,"5,5",2,83
2017,Район 1,Мужчины,65-69,Другие болезни органов дыхания,"5,5",0,83
2017,Район 1,Мужчины,65-69,Другие болезни системы кровообращения,"5,5",0,83
2017,Район 1,Мужчины,65-69,Острые респираторные заболевания,"5,5",0,83
2017,Район 1,Мужчины,70-74,Болезни сердца,5,0,71
2017,Район 1,Мужчины,70-74,Другие болезни органов дыхания,5,1,71
2017,Район 1,Мужчины,70-74,Другие болезни системы кровообращения,5,0,71
2017,Район 1,Мужчины,70-74,Острые респираторные заболевания,5,0,71
2017,Район 1,Мужчины,75-79,Болезни сердца,4,0,71
2017,Район 1,Мужчины,75-79,Другие болезни органов дыхания,4,0,71
2017,Район 1,Мужчины,75-79,Другие болезни системы кровообращения,4,0,71
2017,Район 1,Мужчины,75-79,Острые респираторные заболевания,4,0,71
2017,Район 1,Мужчины,80-84,Болезни сердца,"2,5",2,28
2017,Район 1,Мужчины,80-84,Другие болезни органов дыхания,"2,5",0,28
2017,Район 1,Мужчины,80-84,Другие болезни системы кровообращения,"2,5",0,28
2017,Район 1,Мужчины,80-84,Острые респираторные заболевания,"2,5",0,28
2017,Район 1,Мужчины,85+,Болезни сердца,"2,5",0,16
2017,Район 1,Мужчины,85+,Другие болезни органов дыхания,"2,5",0,16
2017,Район 1,Мужчины,85+,Другие болезни системы кровообращения,"2,5",0,16
2017,Район 1,Мужчины,85+,Острые респираторные заболевания,"2,5",0,16
2017,Район 1,Мужчины,до 1,Болезни сердца,1,0,17
2017,Район 1,Мужчины,до 1,Другие болезни органов дыхания,1,0,17
2017,Район 1,Мужчины,до 1,Другие болезни системы кровообращения,1,0,17
2017,Район 1,Мужчины,до 1,Острые респираторные заболевания,1,0,17
2017,Район 2,Женщины,1-4,Болезни сердца,4,0,100
2017,Район 2,Женщины,1-4,Другие болезни органов дыхания,4,0,100
2017,Район 2,Женщины,1-4,Другие болезни системы кровообращения,4,0,100
2017,Район 2,Женщины,1-4,Острые респираторные заболевания,4,0,100
2017,Район 2,Женщины,10-14,Болезни сердца,"5,5",0,112
2017,Район 2,Женщины,10-14,Другие болезни органов дыхания,"5,5",0,112
2017,Район 2,Женщины,10-14,Другие болезни системы кровообращения,"5,5",0,112
2017,Район 2,Женщины,10-14,Острые респираторные заболевания,"5,5",0,112
2017,Район 2,Женщины,15-19,Болезни сердца,"5,5",0,94
2017,Район 2,Женщины,15-19,Другие болезни органов дыхания,"5,5",0,94
2017,Район 2,Женщины,15-19,Другие болезни системы кровообращения,"5,5",0,94
2017,Район 2,Женщины,15-19,Острые респираторные заболевания,"5,5",0,94
2017,Район 2,Женщины,20-24,Болезни сердца,6,0,72
2017,Район 2,Женщины,20-24,Другие болезни органов дыхания,6,0,72
2017,Район 2,Женщины,20-24,Другие болезни системы кровообращения,6,0,72
2017,Район 2,Женщины,20-24,Острые респираторные заболевания,6,0,72
2017,Район 2,Женщины,25-29,Болезни сердца,6,0,83
2017,Район 2,Женщины,25-29,Другие болезни органов дыхания,6,0,83
2017,Район 2,Женщины,25-29,Другие болезни системы кровообращения,6,0,83
2017,Район 2,Женщины,25-29,Острые респираторные заболевания,6,0,83
2017,Район 2,Женщины,30-34,Болезни сердца,"6,5",0,96
2017,Район 2,Женщины,30-34,Другие болезни органов дыхания,"6,5",0,96
2017,Район 2,Женщины,30-34,Другие болезни системы кровообращения,"6,5",0,96
2017,Район 2,Женщины,30-34,Острые респираторные заболевания,"6,5",0,96
2017,Район 2,Женщины,35-39,Болезни сердца,7,0,118
2017,Район 2,Женщины,35-39,Другие болезни органов дыхания,7,0,118
2017,Район 2,Женщины,35-39,Другие болезни системы кровообращения,7,0,118
2017,Район 2,Женщины,35-39,Острые респираторные заболевания,7,0,118
2017,Район 2,Женщины,40-44,Болезни сердца,7,0,74
2017,Район 2,Женщины,40-44,Другие болезни органов дыхания,7,0,74
2017,Район 2,Женщины,40-44,Другие болезни системы кровообращения,7,0,74
2017,Район 2,Женщины,40-44,Острые респираторные заболевания,7,0,74
2017,Район 2,Женщины,45-49,Болезни сердца,7,0,84
2017,Район 2,Женщины,45-49,Другие болезни органов дыхания,7,0,84
2017,Район 2,Женщины,45-49,Другие болезни системы кровообращения,7,0,84
2017,Район 2,Женщины,45-49,Острые респираторные заболевания,7,0,84
2017,Район 2,Женщины,5-9,Болезни сердца,"5,5",0,202
2017,Район 2,Женщины,5-9,Другие болезни органов дыхания,"5,5",0,202
2017,Район 2,Женщины,5-9,Другие болезни системы кровообращения,"5,5",0,202
2017,Район 2,Женщины,5-9,Острые респираторные заболевания,"5,5",0,202
2017,Район 2,Женщины,50-54,Болезни сердца,7,1,89
2017,Район 2,Женщины,50-54,Другие болезни органов дыхания,7,0,89
2017,Район 2,Женщины,50-54,Другие болезни системы кровообращения,7,0,89
